term,reading,english,description,category
国内総生産,,gross domestic product; GDP,一定期間内に国内で産み出された付加価値の総額。生産面からは、一定期間内の国内における、財貨、サービスの生産額から生産活動中に費消された額を控除したものが、該当する。,経済
国民健康保険,こくみんけんこうほけん,,社会保障の一つで、国民健康保険法に基づき健康保険法が適用されない自営者とその被扶養者、短時間労働者、無職のものの病気、死亡、けが、出産に関する保険の給付を行う公的な保険。,保険
国税,こくぜい; こくぜー,,国が賦課して徴収する租税。国税は、外国からの輸入貨物に課される関税と、それ以外の内国税に大別される。,会計
国貨,こっか,,その国内で通用する通貨。,通貨
園芸屋,えんげいや,,植物や園芸品を売る店。植物や園芸品を売る人。,店舗
園芸店,えんげいてん,,植物や園芸品を販売する店。,店舗
在庫,ざいこ,stock; backlog,企業・商店などが加工や販売するために保有する原材料・仕掛品・製品あるいは商品などの財貨。棚卸資産。,会計
地方税,ちほうぜい,,地方公共団体が賦課して徴収する租税。道府県が課する道府県税と市町村が課する市町村税に大別され、さらに使途が特定されていない普通税と使途が特定されている目的税に分けられる。（地方税法1条1項4号、4条、5条）,会計
地方銀行,ちほうぎんこう,,地方に本店を置き、その地方の金融業務を行う普通銀行。地銀。,銀行
地銀,ちぎん,,地方銀行。,銀行
地震保険,じしんほけん,,地震、噴火、津波に起因する財産の損害を補償する損害保険。,保険
均衡,きんこう,balance,需要、供給のような組み合わせの間で、一致して安定している状態にあること。,経済
基幹事務,きかんじむ,,マンション管理組合が管理業者に委託する業務のうち、管理組合の会計の収入及び支出の調定及び出納並びにマンション（共用部分等）の維持又は修繕に関する企画又は実施の調整。マンション管理業者は、これを一括して他人に委託することは、禁止されている（マンションの管理の適正化の推進に関する法律第2条、第74条）。,会計
基軸通貨,きじくつうか,,国際的な取引で用いられる通貨。,経済
基金,ききん,fund,事業などの経済的基礎となる資金。,金融
場,ば; ジョウ; チョウ,,証券取引や商品取引における取引所取引。,経済
増刷,ぞうさつ,,一度発行した書物をさらに追加して印刷すること。重刷。,出版
売掛金,,account(s) receivable,未収の売上の代金額。また、その受け取れる権利のこと。流動資産に分類される。,会計; 簿記
