term,reading,english,description,category
放物線,ほうぶつせん; ほーぶつせん,parabola,ある方向に対して等速運動をしているとき、その垂直方向で等加速度運動している場合に、その運動体が描く軌跡。重力が存在している場所で、物を投げた場合や、xy平面における、二次関数のグラフなどがこの形となる。抛射線。,力学
放電,ほうでん; ほーでん,,電池などに蓄えられている電気が放出すること。,物理化学; 電気
散乱,さんらん,scattering,波動や粒子線が物体や微粒子と衝突して色々な方向に広がっていく現象。,物理学
数値流体力学,すうちりゅうたいりきがく,,電子計算機で流体力学の諸問題を（近似的に）解くアルゴリズムについて考察する学問。,力学
映像,えいぞう; えーぞー,video,光の屈折や反射により現れた物の像や影。,光学
時空,じくう,spacetime,時間と空間。,物理学
時空旅行,じくうりょこう,,過去や未来に旅行すること。時間旅行。タイムトラベル。,タイムトラベル
時間,じかん,time; hour; period,万物がその流れの中に存在しており、決してその流れに逆らうことができない、空間と対立する概念。,古典力学
時間微分,じかんびぶん,,"微分変数が時刻t,[s]であるときの常微分の称。",物理学
時間旅行,じかんりょこう,,過去や未来に旅行すること。時空旅行。タイムトラベル。,タイムトラベル
曲率,きょくりつ,curvature,曲線や曲面の曲がり具合を表す量。曲線C上の任意の点Oを基点にとり、C上の任意点Pとの距離をsとする(弧長パラメータ)。Pにおける接線方向の単位ベクトルを基線としたとき、曲線上の任意点Qにおける接線ベクトルが基線となす角度をθとすると、曲率はκ(s)=(dθ)/(ds)(s)となる。C:=boldsymbol p(s)∣s≥0としたとき、‖(d boldsymbol p)/(ds)‖=1ならばκ:=‖(d² boldsymbol p)/(ds²)‖とも定義できる。,ベクトル解析
有向線分,ゆうこうせんぶん,,線分のうち、向きを持つもの。幾何ベクトルを用いて表される。長さと向きで決まり、線分の位置は議論に関係ない。よって、平行移動は自由に行える。物理学においては、力を表す有向線分は力の作用線上のみ平行移動できる。,物理学
核,かく; ギャク; カク,core; nucleus; kernel,原子核。,物理学
格子点,こうしてん,,空間格子を形成する各直線の交点。,物理学
楕円軌道の法則,だえんきどうのほうそく,,ケプラーの第一法則の別名,力学
極端紫外線,きょくたんしがいせん,,紫外線のうち、波長10ナノメートル未満のもの。,物理学
極超長波,きょくちょうちょうは,,波長100km以上の電波。,物理学
