term,reading,english,description,category
緩衝地帯,かんしょうちたい,,対立する二国または複数の国家の衝突を緩和するため、それぞれの国家の間に設けられる中立的な地帯。,地政学
自治政府,じちせいふ,,自治区や自治領の政府。,政治
自由党,じゆうとう,Liberal Party,自由主義の実現を目標とした政党。,政治
自由選挙,じゆうせんきょ,,権力が干渉せず自由に立候補と選挙戦が行われる選挙。,選挙
英連邦,えいれんぽう,,イギリス連邦の略称。,政治
華族議員,かぞくぎいん,,戦前の貴族院で男性の華族から選任された議員。,政治
落選,らくせん,,投票の結果、選ばれないこと。特に、その選挙まで議員や首長であった者が選ばれないこと。,選挙
虐政,ぎゃくせい; ぎゃくせー,,人民を苦しめる、悪い政治。むごい政治。暴虐な政治。,政治
衆参,しゅうさん,,衆議院と参議院。,政治
衆議院,しゅうぎいん,House of Representatives,日本の国会を構成する議院のひとつ。議員の任期は4年。歴史的な経緯と、解散があり、多くの部分において参議院に優越するなど、国民の意思をより反映した議院として、比較法的には下院に相当する。,政治
衆議院解散,しゅうぎいんかいさん,,衆議院の全ての議員を一度に失職させること。総選挙がその後に行われる。,政治
衆院選,しゅういんせん,,衆議院議員総選挙の略。,選挙
衛星国,えいせいこく,,独立した主権国家であるが主要な政策で大国に主権が制限され、追随する国家。,政治
衛星政党,えいせいせいとう,,一党独裁の国家で、合法に存在が認められているが独自の政策はなく与党に服従するだけの政党。,政治
被選挙人,ひせんきょにん,,選挙される人。被選挙権を有する人。,選挙
被選挙権,ひせんきょけん,,選挙に立候補する権利。,選挙
補欠選挙,ほけつせんきょ,,議員の辞職や死亡による定数の不足を補充するための選挙。,選挙
補選,ほせん,by-election,補欠選挙。,選挙
西側諸国,にしがわしょこく,Western Bloc,アメリカ合衆国の影響を受けた西ヨーロッパ諸国。資本主義国。自由諸国。,地政学
覇権主義,はけんしゅぎ,,大国が影響力や支配力を強めるため軍事的、経済的、政治的に圧倒的かつ強大な力で他国に介入し主権を侵害し続ける考え方。,地政学
覇道,はどう; はどー,rule; might,力による支配。武力、権力、策略などにより国を治める政治の手法。,政治
解任決議,かいにんけつぎ,,国会の常任委員会の委員長を解任するための決議。,政治
解党,かいとう,,政党、党派を解散すること。,政治
解散,かいさん,dissolution; disorganization,衆議院や地方議会で新しい議員を選出するため、まだ任期満了前に資格を解いて、議会を一時閉じること。,政治
解散,かいさんする; かいさん,disperse; dissolve,衆議院や地方議会で新しい議員を選出するため、まだ任期満了前に資格を解いて、議会を一時閉じる。,政治
解散請求,かいさんせいきゅう,,地方自治法などに基づく住民の直接請求の一つ。自治体の有権者が直接地方議会の解散を請求すること。リコール。,政治
