term,reading,english,description,category
キュリウム,キュリウム,curium,原子番号 96、元素記号 Cm の金属元素。アクチノイドに属する放射性元素。単体は、常温常圧では銀白色の固体。,金属
クロム,クロム,chromium,原子番号 24、元素記号 Cr の金属元素。単体は、常温常圧では銀色の固体。クローム。クロミウム。,金属
コバルト,コバルト,cobalt; cobalt blue,原子番号 27、元素記号 Co の金属元素。単体は、常温常圧では銀白色の固体。,金属
ジスプロシウム,ジスプロシウム,dysprosium,原子番号 66、元素記号 Dy の金属元素。原子量162.5。ランタノイド。単体は、常温常圧では銀白色の固体。,金属
ジュラルミン,,,アルミニウムを主成分として銅やマグネシウムを添加し、主に時効硬化を起こして用いられる合金。比強度が高く、航空機などに使用される。,合金
ジルコニウム,ジルコニウム,zirconium,原子番号 40、元素記号 Zr の金属元素。原子量91.22。単体は、常温常圧では銀白色の固体。,金属
スカンジウム,スカンジウム,scandium,原子番号 21、元素記号 Sc の金属元素。単体は常温常圧では銀白色の固体。,金属
ステンレス,ステンレス,,ステンレス鋼のこと。,合金
ステンレス鋼,すてんれすこう; すてんれすこー,stainless steel,鉄にクロムを含ませた、耐食性の高い合金鋼。不銹鋼。ステンレス。,合金
セシウム,,caesium; cesium,原子番号 55、元素記号 Cs の金属元素。アルカリ金属。単体は常温常圧では銀白色の固体。,金属
セリウム,セリウム,cerium,原子番号 58、元素記号 Ce の金属元素。ランタノイド。単体は、常温常圧では銀白色の固体。,金属
