term,reading,english,description,category
葉緑素,ようりょくそ,chlorophyll,緑色の植物や藻類などの細胞内にふくまれる緑色の色素。光合成を行うための重要なもの。クロロフィル。,生化学
葡萄糖,ぶどうとう,,糖の一種で、分子式:C₆H₁₂O₆で表される代表的な単糖、漢字の制限により一般には、ブドウ糖と表記する。,糖類
蔗糖,しょとう; しょとー,,砂糖黍、砂糖大根などからつくられる砂糖。スクロース。,糖類
薩摩,さつま,,砂糖。,砂糖
角砂糖,かくざとう,,白砂糖を立方体に固めたもの。着色したものや立方体以外のものもある。,砂糖
解糖,かいとう,,生体内で炭水化物が嫌気的に乳酸などに分解されること。,生化学
酵素,こうそ; こーそ,enzyme,触媒作用をもち、生化学反応に関わる生体物質。主にタンパク質であるが、RNAにもリボザイムと呼ばれる酵素活性を持つ分子種がある。,生化学
醱酵,はっこう,,酵母などの微生物の作用により、有機化合物が分解すること。,生化学
鎮静剤,ちんせいざい,tranquilizer,大脳皮質の中枢神経の異常な興奮を静める薬剤。鎮静薬。,薬理学
食物繊維,しょくもつせんい,dietary fiber; dietary fibre,食物に含まれる成分のなかで消化酵素で分解できないもの。整腸作用がある。,炭水化物
麦芽糖,ばくがとう,,澱粉を麦芽に含まれる酵素により糖化して得られる二糖類の一つ。みずあめの原料。マルトース。,糖類
黒砂糖,くろざとう,,精製されていない褐色の砂糖。黒糖。,砂糖
黒糖,こくとう,,砂糖黍の絞り汁を煮て、まだ精製していない黒っぽい砂糖。黒砂糖。,砂糖
